path,relative_path,category,split,defect_type,sample_id,is_mask,kind,label,anomaly_group,mask_area_ratio
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\000\000.png,breakfast_box/ground_truth/logical_anomalies/000/000.png,breakfast_box,ground_truth,logical_anomalies,000,True,mask,1,logical_anomalies,0.4578043619791667
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\001\000.png,breakfast_box/ground_truth/logical_anomalies/001/000.png,breakfast_box,ground_truth,logical_anomalies,001,True,mask,1,logical_anomalies,0.4561903211805556
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\002\000.png,breakfast_box/ground_truth/logical_anomalies/002/000.png,breakfast_box,ground_truth,logical_anomalies,002,True,mask,1,logical_anomalies,0.4554036458333333
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\003\000.png,breakfast_box/ground_truth/logical_anomalies/003/000.png,breakfast_box,ground_truth,logical_anomalies,003,True,mask,1,logical_anomalies,0.10245768229166667
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\004\000.png,breakfast_box/ground_truth/logical_anomalies/004/000.png,breakfast_box,ground_truth,logical_anomalies,004,True,mask,1,logical_anomalies,0.1145901150173611
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\005\000.png,breakfast_box/ground_truth/logical_anomalies/005/000.png,breakfast_box,ground_truth,logical_anomalies,005,True,mask,1,logical_anomalies,0.11280653211805555
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\006\000.png,breakfast_box/ground_truth/logical_anomalies/006/000.png,breakfast_box,ground_truth,logical_anomalies,006,True,mask,1,logical_anomalies,0.09825303819444445
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\007\000.png,breakfast_box/ground_truth/logical_anomalies/007/000.png,breakfast_box,ground_truth,logical_anomalies,007,True,mask,1,logical_anomalies,0.10591634114583333
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\008\000.png,breakfast_box/ground_truth/logical_anomalies/008/000.png,breakfast_box,ground_truth,logical_anomalies,008,True,mask,1,logical_anomalies,0.09883626302083333
D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\ground_truth\logical_anomalies\009\000.png,breakfast_box/ground_truth/logical_anomalies/009/000.png,breakfast_box,ground_truth,logical_anomalies,009,True,mask,1,logical_anomalies,0.09618462456597222
