method,implementation_backend,image_id,path,relative_path,category,split,defect_type,sample_id,label,score,map_file,time_ms
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/000,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/000.png,breakfast_box/test/good/000.png,breakfast_box,test,good,000,0,1.2757148742675781,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_000.png,19.90231199943082
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/001,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/001.png,breakfast_box/test/good/001.png,breakfast_box,test,good,001,0,1.213577389717102,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_001.png,20.89613099997223
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/002,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/002.png,breakfast_box/test/good/002.png,breakfast_box,test,good,002,0,1.2223482131958008,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_002.png,20.48811399981787
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/003,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/003.png,breakfast_box/test/good/003.png,breakfast_box,test,good,003,0,1.1902718544006348,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_003.png,20.24156200059224
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/004,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/004.png,breakfast_box/test/good/004.png,breakfast_box,test,good,004,0,0.8294168710708618,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_004.png,20.077763000699633
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/005,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/005.png,breakfast_box/test/good/005.png,breakfast_box,test,good,005,0,1.1706956624984741,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_005.png,31.25618600006419
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/006,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/006.png,breakfast_box/test/good/006.png,breakfast_box,test,good,006,0,1.0675443410873413,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_006.png,19.96561699979793
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/007,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/007.png,breakfast_box/test/good/007.png,breakfast_box,test,good,007,0,1.2207750082015991,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_007.png,19.72956100053125
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/008,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/008.png,breakfast_box/test/good/008.png,breakfast_box,test,good,008,0,0.8855183720588684,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_008.png,21.59981000022526
EfficientAD,fallback_global_feature_teacher_student_proxy,breakfast_box/test/good/009,/content/lab/Project_A_LOCO_AD/03_cleaned_data/loco_cleaned_letterbox_384/breakfast_box/test/good/009.png,breakfast_box/test/good/009.png,breakfast_box,test,good,009,0,0.8424058556556702,/content/lab/Project_A_LOCO_AD/05_baselines/EfficientAD/efficientad_anomaly_maps/breakfast_box_good_009.png,19.807650999609905
