source_relative_path,output_relative_path,is_mask,status,error,original_width,original_height,resized_width,resized_height,scale,pad_left,pad_right,pad_top,pad_bottom,target_size
breakfast_box/ground_truth/logical_anomalies/000/000.png,breakfast_box/ground_truth/logical_anomalies/000/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/001/000.png,breakfast_box/ground_truth/logical_anomalies/001/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/002/000.png,breakfast_box/ground_truth/logical_anomalies/002/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/003/000.png,breakfast_box/ground_truth/logical_anomalies/003/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/004/000.png,breakfast_box/ground_truth/logical_anomalies/004/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/005/000.png,breakfast_box/ground_truth/logical_anomalies/005/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/006/000.png,breakfast_box/ground_truth/logical_anomalies/006/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/007/000.png,breakfast_box/ground_truth/logical_anomalies/007/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/008/000.png,breakfast_box/ground_truth/logical_anomalies/008/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/009/000.png,breakfast_box/ground_truth/logical_anomalies/009/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/010/000.png,breakfast_box/ground_truth/logical_anomalies/010/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/011/000.png,breakfast_box/ground_truth/logical_anomalies/011/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/012/000.png,breakfast_box/ground_truth/logical_anomalies/012/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/013/000.png,breakfast_box/ground_truth/logical_anomalies/013/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/014/000.png,breakfast_box/ground_truth/logical_anomalies/014/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
breakfast_box/ground_truth/logical_anomalies/015/000.png,breakfast_box/ground_truth/logical_anomalies/015/000.png,True,ok,,1600,1280,384,307,0.24,0,0,38,39,384
