relative_path,kind,category,split,defect_type,md5,average_hash,hash_error,exact_duplicate_across_splits
breakfast_box/ground_truth/logical_anomalies/000/000.png,mask,breakfast_box,ground_truth,logical_anomalies,826019e793ad4ec6d8cd81da88222f7e,007e7e6e6e6e6e00,,False
breakfast_box/ground_truth/logical_anomalies/001/000.png,mask,breakfast_box,ground_truth,logical_anomalies,63e6ff80e4406dac4e9cc4faf83c7663,007e7e7e6e7e6e00,,False
breakfast_box/ground_truth/logical_anomalies/002/000.png,mask,breakfast_box,ground_truth,logical_anomalies,db869dc482a54c4c359a01d7f50cd95f,007e7e6e6e7e6e00,,False
breakfast_box/ground_truth/logical_anomalies/003/000.png,mask,breakfast_box,ground_truth,logical_anomalies,1db49a6cc7c9c9ba901c7ba5dc6ee318,000000000e0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/004/000.png,mask,breakfast_box,ground_truth,logical_anomalies,63b9fd8797c529c0b60a2864d115523d,000000060f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/005/000.png,mask,breakfast_box,ground_truth,logical_anomalies,d3b031c8dce677afdea95573a3ca62b2,000000000f0f0f0c,,False
breakfast_box/ground_truth/logical_anomalies/006/000.png,mask,breakfast_box,ground_truth,logical_anomalies,86cb5f76123f4cafc252ef4968f4ebca,000000000e0f0f06,,False
breakfast_box/ground_truth/logical_anomalies/007/000.png,mask,breakfast_box,ground_truth,logical_anomalies,7af1d8488e01aed9a106e7a7e739e067,0000000c0f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/008/000.png,mask,breakfast_box,ground_truth,logical_anomalies,f39815baf75058a65fd69335ea28e196,000000000f0f0f06,,False
breakfast_box/ground_truth/logical_anomalies/009/000.png,mask,breakfast_box,ground_truth,logical_anomalies,bf1a0e2ddb1f2d1d1b42a84ba25fc889,000000000f0f0f0e,,False
breakfast_box/ground_truth/logical_anomalies/010/000.png,mask,breakfast_box,ground_truth,logical_anomalies,2c6a2cbe00212767d89bf9b74fa5b247,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/011/000.png,mask,breakfast_box,ground_truth,logical_anomalies,cab880ba41bb0893faa4737329154262,000000000f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/012/000.png,mask,breakfast_box,ground_truth,logical_anomalies,34adc4d9b2ec38c12f7bddbb2093e103,000000000e0f0f0c,,False
breakfast_box/ground_truth/logical_anomalies/013/000.png,mask,breakfast_box,ground_truth,logical_anomalies,7a4177f974955265d2c5c0763a49c84e,000000000e0f0f06,,False
breakfast_box/ground_truth/logical_anomalies/014/000.png,mask,breakfast_box,ground_truth,logical_anomalies,245042bdac91df2c6271b068afe2d3de,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/015/000.png,mask,breakfast_box,ground_truth,logical_anomalies,5e65eee0d41e719d26b611613ccea4e4,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/016/000.png,mask,breakfast_box,ground_truth,logical_anomalies,f2c01b768d6262a813d66837a7b07388,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/017/000.png,mask,breakfast_box,ground_truth,logical_anomalies,96e1bb30bd1eb74e92398f3a4a9b53e9,000000000f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/018/000.png,mask,breakfast_box,ground_truth,logical_anomalies,2d6ad3b7c246d9340d0f0a469d465d4f,000000000f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/019/000.png,mask,breakfast_box,ground_truth,logical_anomalies,bc668f4a5b598d83a26f9b2816c926bb,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/020/000.png,mask,breakfast_box,ground_truth,logical_anomalies,aebb0bd6c1fe4cc816b1f40e46054c4b,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/021/000.png,mask,breakfast_box,ground_truth,logical_anomalies,9ca76c2ae1c39a67f86db3e9b5e2d675,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/022/000.png,mask,breakfast_box,ground_truth,logical_anomalies,3838db55de5201bf58395238a686d9b3,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/023/000.png,mask,breakfast_box,ground_truth,logical_anomalies,0a57730f6f9153304ff376dd1e0c084b,000000000f0f0f02,,False
breakfast_box/ground_truth/logical_anomalies/024/000.png,mask,breakfast_box,ground_truth,logical_anomalies,151736538447825a55264746fee4bfcf,000000000f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/025/000.png,mask,breakfast_box,ground_truth,logical_anomalies,145ebc0b74e07672a54a38f5e6b3f3b6,1e1f1f1f0e000000,,False
breakfast_box/ground_truth/logical_anomalies/026/000.png,mask,breakfast_box,ground_truth,logical_anomalies,e0b0e6698a3d47cbfccd5a0ba788053e,1e1f1f1f00000000,,False
breakfast_box/ground_truth/logical_anomalies/027/000.png,mask,breakfast_box,ground_truth,logical_anomalies,14fe6538b330d38e011cd6287bae02c2,1e1f1f1f00000000,,False
breakfast_box/ground_truth/logical_anomalies/028/000.png,mask,breakfast_box,ground_truth,logical_anomalies,63928749833400c69d8d45c4c1f0f0da,1e1f1f1f00000000,,False
breakfast_box/ground_truth/logical_anomalies/029/000.png,mask,breakfast_box,ground_truth,logical_anomalies,3e1d8bd3bebb3ed8ed6cb42142513400,1e1f1f1f0e000000,,False
breakfast_box/ground_truth/logical_anomalies/030/000.png,mask,breakfast_box,ground_truth,logical_anomalies,2de7946eb9e6ef4f68c9a03b065423df,1e1f1f1f0e000000,,False
breakfast_box/ground_truth/logical_anomalies/031/000.png,mask,breakfast_box,ground_truth,logical_anomalies,34942a7932b79d6cb406aabcb372159b,1e1f1f1f0a000000,,False
breakfast_box/ground_truth/logical_anomalies/032/000.png,mask,breakfast_box,ground_truth,logical_anomalies,c18726feecb9d8d86959735571546155,1e1f1f1f0e000000,,False
breakfast_box/ground_truth/logical_anomalies/033/000.png,mask,breakfast_box,ground_truth,logical_anomalies,d4b4b40724c2c031ab310ec9da0b2a3d,0e1e1e0e0e0e0e00,,False
breakfast_box/ground_truth/logical_anomalies/034/000.png,mask,breakfast_box,ground_truth,logical_anomalies,65df8734a190957520a528983ce77637,0c1e1e0e0e0e0e00,,False
breakfast_box/ground_truth/logical_anomalies/035/000.png,mask,breakfast_box,ground_truth,logical_anomalies,d6454aa114543d431b121c3494b99eb1,0e1e1e0e0e0e0e00,,False
breakfast_box/ground_truth/logical_anomalies/036/000.png,mask,breakfast_box,ground_truth,logical_anomalies,6b7cf3f31b6d57bc2caa1e05b5095aa5,0e1e1e0e0e0e0e00,,False
breakfast_box/ground_truth/logical_anomalies/037/000.png,mask,breakfast_box,ground_truth,logical_anomalies,14c30cadf943ca710375ece091f55a39,000000000f0f0f06,,False
breakfast_box/ground_truth/logical_anomalies/038/000.png,mask,breakfast_box,ground_truth,logical_anomalies,0d1418642d777cf80420ccf3817018cb,000000060f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/039/000.png,mask,breakfast_box,ground_truth,logical_anomalies,7762e4ec0dd4958ba3287006410d02f4,0000000e0f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/040/000.png,mask,breakfast_box,ground_truth,logical_anomalies,8381c65df9825f5237526ddff7c05625,0000000e0f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/041/000.png,mask,breakfast_box,ground_truth,logical_anomalies,fa1d45f84a233523e21c1eac59555528,0000000e0f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/042/000.png,mask,breakfast_box,ground_truth,logical_anomalies,5ef8013ebb7f55521ed22dc183b4667d,0000000e0f0f0f04,,False
breakfast_box/ground_truth/logical_anomalies/043/000.png,mask,breakfast_box,ground_truth,logical_anomalies,4b14043471fa491b0b2152295316866f,0000000e0f0f0f00,,False
breakfast_box/ground_truth/logical_anomalies/044/000.png,mask,breakfast_box,ground_truth,logical_anomalies,15ecc42f67dd2bea543a9aebd596ea12,2070700000000000,,False
breakfast_box/ground_truth/logical_anomalies/045/000.png,mask,breakfast_box,ground_truth,logical_anomalies,9e8b34f112d01cf176f41988f1ffbf6f,0000707030604000,,False
breakfast_box/ground_truth/logical_anomalies/046/000.png,mask,breakfast_box,ground_truth,logical_anomalies,c21754532722cf1ca5156fac34e2550f,0000003070700000,,False
breakfast_box/ground_truth/logical_anomalies/047/000.png,mask,breakfast_box,ground_truth,logical_anomalies,98beebbfbfd5c55d712c320d8f95e915,0030303038000000,,False
breakfast_box/ground_truth/logical_anomalies/048/000.png,mask,breakfast_box,ground_truth,logical_anomalies,a82f35abb7e34a4d1cb86abfb3612928,1e1313130b030f0e,,False
breakfast_box/ground_truth/logical_anomalies/049/000.png,mask,breakfast_box,ground_truth,logical_anomalies,1fbdf6315fe6bc8458678287f3e37cea,1e13131b1b0b0f0e,,False
breakfast_box/ground_truth/logical_anomalies/050/000.png,mask,breakfast_box,ground_truth,logical_anomalies,35d0db673839de6c4efc81047debae73,1e1b13130b0b0f0e,,False
breakfast_box/ground_truth/logical_anomalies/051/000.png,mask,breakfast_box,ground_truth,logical_anomalies,6eccbd555e034b1c8c1ead5c5faf9eb9,1e1f13130b0b0f0e,,False
