relative_path,kind,category,split,defect_type,width,height,wrong_size,mask_binary,non_binary_mask,error
breakfast_box/ground_truth/logical_anomalies/000/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/001/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/002/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/003/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/004/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/005/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/006/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/007/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/008/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/009/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/010/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/011/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/012/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/013/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/014/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/015/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/016/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/017/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/018/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/019/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/020/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/021/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/022/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/023/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/024/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/025/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/026/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/027/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/028/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/029/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/030/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/031/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/032/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/033/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/034/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/035/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/036/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/037/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/038/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/039/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/040/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/041/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/042/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/043/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/044/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/045/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/046/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/047/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/048/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/049/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/050/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/051/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/052/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/053/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/054/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/055/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/056/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/057/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/058/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/059/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/060/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/061/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/062/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/063/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/064/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
breakfast_box/ground_truth/logical_anomalies/065/000.png,mask,breakfast_box,ground_truth,logical_anomalies,384,384,False,"0,255",False,
